2026-05-11T08:11:18.937Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-11T19:25:26.990Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T19:54:30.304Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T19:54:30.305Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T19:54:30.306Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T20:12:28.844Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T20:12:28.848Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T20:12:28.848Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T20:46:19.196Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T20:46:19.202Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T20:46:19.202Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T21:11:37.409Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T21:11:37.411Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T21:11:37.412Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T21:46:45.787Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T21:46:45.888Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T21:46:45.890Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-12T04:49:21.751Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-12T04:49:21.764Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-12T04:49:21.764Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-12T05:20:14.148Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-12T05:20:24.156Z | connection_pool_recreate_error | {"error":"connect ETIMEDOUT"} | connect ETIMEDOUT | RESPONSE: null
2026-05-12T05:20:24.159Z | health_check_error | {"error":"connect ETIMEDOUT"} | connect ETIMEDOUT | RESPONSE: null
